ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME
"10,107.00",30.00,95.70,2.00,"2,871.00",2/24/2003 0:00,Shipped,1.00,2.00,"2,003.00",Motorcycles,95.00,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,United States,NA,Yu,Kwai
"10,121.00",34.00,81.35,5.00,"2,765.90",5/7/2003 0:00,Shipped,2.00,5.00,"2,003.00",Motorcycles,95.00,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul
"10,134.00",41.00,94.74,2.00,"3,884.34",7/1/2003 0:00,Shipped,3.00,7.00,"2,003.00",Motorcycles,95.00,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel
"10,145.00",45.00,83.26,6.00,"3,746.70",8/25/2003 0:00,Shipped,3.00,8.00,"2,003.00",Motorcycles,95.00,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie
"10,159.00",49.00,100.00,14.00,"5,205.27",10/10/2003 0:00,Shipped,4.00,10.00,"2,003.00",Motorcycles,95.00,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,United States,NA,Brown,Julie
"10,168.00",36.00,96.66,1.00,"3,479.76",10/28/2003 0:00,Shipped,4.00,10.00,"2,003.00",Motorcycles,95.00,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri
"10,180.00",29.00,86.13,9.00,"2,497.77",11/11/2003 0:00,Shipped,4.00,11.00,"2,003.00",Motorcycles,95.00,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chaussÇe de Tournai",,Lille,,59000,France,EMEA,RancÇ,Martine
"10,188.00",48.00,100.00,1.00,"5,512.32",11/18/2003 0:00,Shipped,4.00,11.00,"2,003.00",Motorcycles,95.00,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
"10,201.00",22.00,98.57,2.00,"2,168.54",12/1/2003 0:00,Shipped,4.00,12.00,"2,003.00",Motorcycles,95.00,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,United States,NA,Murphy,Julie
"10,211.00",41.00,100.00,14.00,"4,708.44",1/15/2004 0:00,Shipped,1.00,1.00,"2,004.00",Motorcycles,95.00,S10_1678,Auto Canal+ Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique
"10,223.00",37.00,100.00,1.00,"3,965.66",2/20/2004 0:00,Shipped,1.00,2.00,"2,004.00",Motorcycles,95.00,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
"10,237.00",23.00,100.00,7.00,"2,333.12",4/5/2004 0:00,Shipped,2.00,4.00,"2,004.00",Motorcycles,95.00,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael
"10,251.00",28.00,100.00,2.00,"3,188.64",5/18/2004 0:00,Shipped,2.00,5.00,"2,004.00",Motorcycles,95.00,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William
"10,263.00",34.00,100.00,2.00,"3,676.76",6/28/2004 0:00,Shipped,2.00,6.00,"2,004.00",Motorcycles,95.00,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,United States,NA,King,Julie
"10,275.00",45.00,92.83,1.00,"4,177.35",7/23/2004 0:00,Shipped,3.00,7.00,"2,004.00",Motorcycles,95.00,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine
"10,285.00",36.00,100.00,6.00,"4,099.68",8/27/2004 0:00,Shipped,3.00,8.00,"2,004.00",Motorcycles,95.00,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta
"10,299.00",23.00,100.00,9.00,"2,597.39",9/30/2004 0:00,Shipped,3.00,9.00,"2,004.00",Motorcycles,95.00,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti
"10,309.00",41.00,100.00,5.00,"4,394.38",10/15/2004 0:00,Shipped,4.00,10.00,"2,004.00",Motorcycles,95.00,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas
